Top;Middle;Low;Code
General;General;General;1000
Life Sciences;Agricultural and Biological Sciences;Agricultural and Biological Sciences(all);1100
Life Sciences;Agricultural and Biological Sciences;Agricultural and Biological Sciences (miscellaneous);1101
Life Sciences;Agricultural and Biological Sciences;Agronomy and Crop Science;1102
Life Sciences;Agricultural and Biological Sciences;Animal Science and Zoology;1103
Life Sciences;Agricultural and Biological Sciences;Aquatic Science;1104
Life Sciences;Agricultural and Biological Sciences;Ecology, Evolution, Behavior and Systematics;1105
Life Sciences;Agricultural and Biological Sciences;Food Science;1106
Life Sciences;Agricultural and Biological Sciences;Forestry;1107
Life Sciences;Agricultural and Biological Sciences;Horticulture;1108
Life Sciences;Agricultural and Biological Sciences;Insect Science;1109
Life Sciences;Agricultural and Biological Sciences;Plant Science;1110
Life Sciences;Agricultural and Biological Sciences;Soil Science;1111
Social Sciences;Arts and Humanities;Arts and Humanities(all);1200
Social Sciences;Arts and Humanities;Arts and Humanities (miscellaneous);1201
Social Sciences;Arts and Humanities;History;1202
Social Sciences;Arts and Humanities;Language and Linguistics;1203
Social Sciences;Arts and Humanities;Archaeology;1204
Social Sciences;Arts and Humanities;Classics;1205
Social Sciences;Arts and Humanities;Conservation;1206
Social Sciences;Arts and Humanities;History and Philosophy of Science;1207
Social Sciences;Arts and Humanities;Literature and Literary Theory;1208
Social Sciences;Arts and Humanities;Museology;1209
Social Sciences;Arts and Humanities;Music;1210
Social Sciences;Arts and Humanities;Philosophy;1211
Social Sciences;Arts and Humanities;Religious studies;1212
Social Sciences;Arts and Humanities;Visual Arts and Performing Arts;1213
Life Sciences;Biochemistry, Genetics and Molecular Biology;Biochemistry, Genetics and Molecular Biology(all);1300
Life Sciences;Biochemistry, Genetics and Molecular Biology;Biochemistry, Genetics and Molecular Biology (miscellaneous);1301
Life Sciences;Biochemistry, Genetics and Molecular Biology;Ageing;1302
Life Sciences;Biochemistry, Genetics and Molecular Biology;Biochemistry;1303
Life Sciences;Biochemistry, Genetics and Molecular Biology;Biophysics;1304
Life Sciences;Biochemistry, Genetics and Molecular Biology;Biotechnology;1305
Life Sciences;Biochemistry, Genetics and Molecular Biology;Cancer Research;1306
Life Sciences;Biochemistry, Genetics and Molecular Biology;Cell Biology;1307
Life Sciences;Biochemistry, Genetics and Molecular Biology;Clinical Biochemistry;1308
Life Sciences;Biochemistry, Genetics and Molecular Biology;Developmental Biology;1309
Life Sciences;Biochemistry, Genetics and Molecular Biology;Endocrinology;1310
Life Sciences;Biochemistry, Genetics and Molecular Biology;Genetics;1311
Life Sciences;Biochemistry, Genetics and Molecular Biology;Molecular Biology;1312
Life Sciences;Biochemistry, Genetics and Molecular Biology;Molecular Medicine;1313
Life Sciences;Biochemistry, Genetics and Molecular Biology;Physiology;1314
Life Sciences;Biochemistry, Genetics and Molecular Biology;Structural Biology;1315
Social Sciences;Business, Management and Accounting;Business, Management and Accounting(all);1400
Social Sciences;Business, Management and Accounting;Business, Management and Accounting (miscellaneous);1401
Social Sciences;Business, Management and Accounting;Accounting;1402
Social Sciences;Business, Management and Accounting;Business and International Management;1403
Social Sciences;Business, Management and Accounting;Management Information Systems;1404
Social Sciences;Business, Management and Accounting;Management of Technology and Innovation;1405
Social Sciences;Business, Management and Accounting;Marketing;1406
Social Sciences;Business, Management and Accounting;Organizational Behavior and Human Resource Management;1407
Social Sciences;Business, Management and Accounting;Strategy and Management;1408
